Класс ТМЦ,ТМЦ кратко,TVC,ТМЦ,Код
Скрепка П образная,Скрепка ТРТ3,"1,41","Скрепка ""ТРТ3 СМ""",117803
Скрепка П образная,Скрепка ТПЖ2,"2,72","Скрепка ""ТПЖ2 СМ""",117797
Скрепка П образная,Скрепка ТПЖ1,"2,08","Скрепка ""ТПЖ1 СМ""",117795
Скрепка П образная,Скрепка РСС4,"3,30","Скрепка ""РСС4 СМ""",117790
Скрепка П образная,Скрепка РСС3,"3,28","Скрепка ""РСС3 М""",117788
Скрепка П образная,Скрепка РСС2,"2,63","Скрепка ""РСС2 Х-СМ""",117785
Скрепка П образная,Скрепка РСС1,"2,18","Скрепка ""РСС1 М""",117783
Скрепка П образная,Скрепка РСЕ3,"1,38","Скрепка ""РСЕ3 СМ""",117779
Скрепка П образная,Скрепка РСЕ2,"1,31","Скрепка ""РСЕ2 СМ""",117777
Скрепка П образная,Скрепка РСЕ1,"1,16","Скрепка ""РСЕ1 СМ""",117775
Скрепка П образная,Скрепка РСА3,"1,19","Скрепка ""РСА3 СМ""",117772
Скрепка П образная,Скрепка РСА2,"0,99","Скрепка ""РСА2 СМ""",124654
Скрепка П образная,Скрепка РСА1,"0,70","Скрепка ""РСА1 СМ""",117770
Скрепка П образная,Скрепка Е4,"3,62","Скрепка ""Е4 СМ""",117762
Скрепка П образная,Скрепка Е3,"3,58","Скрепка ""Е3 СМ""",117760
Скрепка П образная,Скрепка Е2,"3,00","Скрепка ""Е2 СМ""",117758
Скрепка П образная,Скрепка Е1,"2,63","Скрепка ""Е1 СМ""",117756
Скрепка П образная,Скрепка Е,"2,36","Скрепка ""Е СМ""",118716
Скрепка П образная,Скрепка ВР3,"1,81","Скрепка ""ВР3 СМ""",117755
Скрепка П образная,Скрепка ВР2,"1,75","Скрепка ""ВР2 Х-СМ""",117753
Скрепка П образная,Скрепка ВР2,"1,71","Скрепка ""ВР2 Х-Т""",118890
Скрепка П образная,Скрепка ВР1,"1,48","Скрепка ""ВР1 СМ""",117751
Скрепка П образная,Скрепка В3,"1,67","Скрепка ""В3 СМ""",117749
Скрепка П образная,Скрепка В2,"1,58","Скрепка ""В2 Х-СМ""",117747
Скрепка П образная,Скрепка В1,"1,40","Скрепка ""В1 СМ""",117745
Скрепка П образная,Скрепка А3,"1,02","Скрепка ""А3 СМ""",117743
Скрепка П образная,Скрепка А2,"0,88","Скрепка ""А2 СМ""",117742
Скрепка П образная,Скрепка А1,"0,76","Скрепка ""А1 СМ""",117741
Скрепка непрерывная,"Скрепка 18-12/5х2,20","3,87","Скрепка ""18-12/5х2,20 П-СМ-0.1-3000""",110606
Скрепка непрерывная,"Скрепка 18-12/5х2,00","3,76","Скрепка ""18-12/5х2,00 П-СМ-0.1-3000""",125279
Скрепка непрерывная,"Скрепка 18-12/5х2,00","3,80","Скрепка ""18-13/5х2,00 П-СМ-0.1-3000""",142235
Скрепка непрерывная,"Скрепка 18-11/5х2,00 П","3,43","Скрепка ""18-11/5х2,00 П-СМ-0.1-3000""",110597
Скрепка непрерывная,"Скрепка 18-11/5х2,00 Л","2,94","Скрепка ""18-11/5х2,00 Л-СМ-0.1-3000""",110599
Скрепка непрерывная,"Скрепка 18-09/5х2,00 П","2,90","Скрепка ""18-09/5х2,00 П-СМ-0.2-4000""",110584
Скрепка непрерывная,"Скрепка 18-09/5х2,00 П","2,88","Скрепка ""18-09/5х2,00 П-СМ-0.3-4000""",110585
Скрепка непрерывная,"Скрепка 18-09/5х2,00 П","2,96","Скрепка ""18-09/5х2,00 П-СМ-0.4-4000""",144597
Скрепка непрерывная,"Скрепка 18-09/5х2,00 Л","2,72","Скрепка ""18-09/5х2,00 Л-СМ-0.1-4000""",110589
Скрепка непрерывная,"Скрепка 18-09/5х2,00 Л","2,69","Скрепка ""18-09/5х2,00 Л-СМ-0.3-4000""",110591
Скрепка непрерывная,"Скрепка 18-09/5х1,75","2,60","Скрепка ""18-09/5х1,75 П-СМ-0.3-4000""",116341
Скрепка непрерывная,"Скрепка 18-07/5х1,75","2,13","Скрепка ""18-07/5х1,75 Л-СМ-0.1-4000""",110565
Скрепка непрерывная,"Скрепка 18-07/5х1,50","2,21","Скрепка ""18-07/5х1,50 П-СМ-0.1-4000""",121001
